               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016645,            0.012342,           0.0080276,             0.91866,             0.90211,             0.95637,             0.69307,           0.0078327,           0.0043775,           0.0059608,             0.00769,             0.00769,             0.00769
                  37,            0.017469,            0.013812,           0.0097597,             0.93003,             0.88687,             0.95978,             0.66797,           0.0069514,           0.0043528,           0.0043217,            0.007624,            0.007624,            0.007624
                  38,            0.017039,            0.013331,           0.0075019,             0.90701,             0.89181,              0.9506,              0.6073,           0.0077993,           0.0039924,           0.0037373,            0.007558,            0.007558,            0.007558
                  39,             0.01692,            0.012312,           0.0070856,             0.94247,             0.89669,             0.96598,             0.69222,           0.0066224,           0.0039977,           0.0022152,            0.007492,            0.007492,            0.007492
                  40,            0.015491,            0.012765,           0.0070413,             0.75924,              0.8121,             0.85733,             0.57667,           0.0069464,           0.0040554,           0.0027683,            0.007426,            0.007426,            0.007426
                  41,            0.016049,            0.013323,           0.0078556,             0.89371,             0.94814,             0.97802,             0.74328,           0.0055559,           0.0036678,           0.0015106,             0.00736,             0.00736,             0.00736
                  42,            0.015705,            0.012951,            0.008098,             0.87763,             0.86952,             0.91646,             0.60482,           0.0077682,           0.0037022,           0.0030434,            0.007294,            0.007294,            0.007294
                  43,            0.017457,            0.014072,           0.0090109,             0.90254,             0.89962,             0.94277,             0.62369,           0.0063524,           0.0039006,           0.0023678,            0.007228,            0.007228,            0.007228
                  44,            0.017038,            0.012809,           0.0087493,             0.91878,             0.83641,             0.96618,             0.70691,           0.0057781,           0.0040151,             0.00298,            0.007162,            0.007162,            0.007162
                  45,            0.016222,            0.012866,           0.0084988,              0.9229,             0.96775,             0.98212,             0.71375,           0.0054205,           0.0038911,           0.0015633,            0.007096,            0.007096,            0.007096
                  46,            0.015026,            0.012629,            0.007511,              0.9709,               0.975,             0.99273,             0.70222,           0.0064082,           0.0041008,           0.0016716,             0.00703,             0.00703,             0.00703
                  47,            0.014644,             0.01356,            0.007863,             0.93301,               0.925,             0.98331,             0.64619,           0.0067353,           0.0040255,           0.0016453,            0.006964,            0.006964,            0.006964
                  48,            0.015449,            0.012074,           0.0080057,             0.92577,             0.96136,             0.97024,             0.72767,           0.0064152,           0.0040628,           0.0015919,            0.006898,            0.006898,            0.006898
                  49,            0.014063,            0.012994,           0.0063497,             0.91997,             0.95483,             0.97606,             0.70097,           0.0066438,            0.004118,           0.0023476,            0.006832,            0.006832,            0.006832
                  50,            0.015025,            0.012619,           0.0056942,             0.90154,             0.93255,             0.94411,             0.67567,           0.0063574,           0.0041514,           0.0021162,            0.006766,            0.006766,            0.006766
