               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048408,            0.019479,           0.0039523,             0.37522,             0.55774,             0.44191,             0.14148,            0.051682,           0.0083907,             0.01643,            0.006535,            0.006535,            0.006535
                  37,            0.046417,             0.02062,           0.0050754,              0.4093,             0.48473,             0.46942,             0.12661,             0.05077,           0.0083034,            0.016628,            0.006436,            0.006436,            0.006436
                  38,            0.044152,            0.019439,           0.0052091,             0.32898,             0.54007,              0.5094,             0.14556,            0.049844,           0.0083654,             0.01722,            0.006337,            0.006337,            0.006337
                  39,            0.045853,            0.018732,           0.0048295,             0.37533,             0.59787,             0.48851,             0.17852,             0.05225,            0.008471,            0.016127,            0.006238,            0.006238,            0.006238
                  40,            0.043327,            0.020189,            0.004793,             0.53958,             0.45109,             0.49893,             0.16606,            0.049102,           0.0086983,            0.017796,            0.006139,            0.006139,            0.006139
                  41,            0.045003,            0.019369,           0.0037916,             0.37832,             0.49343,             0.51475,             0.16543,            0.050701,            0.008371,            0.017659,             0.00604,             0.00604,             0.00604
                  42,            0.048215,            0.019287,           0.0060924,             0.44036,             0.56983,             0.46714,             0.11808,            0.052627,           0.0085263,            0.025887,            0.005941,            0.005941,            0.005941
                  43,            0.044834,            0.018867,           0.0037241,             0.44745,             0.55993,             0.49569,             0.15647,            0.056568,           0.0083905,            0.026108,            0.005842,            0.005842,            0.005842
                  44,            0.046917,             0.01816,           0.0028475,             0.45164,             0.56475,             0.50552,             0.14346,            0.054272,           0.0081676,            0.026844,            0.005743,            0.005743,            0.005743
                  45,            0.046247,            0.018801,           0.0039194,             0.49101,             0.51448,             0.49368,              0.1732,             0.05344,           0.0079707,              0.0272,            0.005644,            0.005644,            0.005644
                  46,            0.043415,            0.020113,            0.003194,             0.55888,             0.57385,             0.55166,             0.19166,            0.053655,           0.0077595,            0.027238,            0.005545,            0.005545,            0.005545
                  47,            0.047644,            0.019709,           0.0037175,             0.57204,             0.46381,             0.50901,             0.14004,            0.049661,           0.0085341,            0.027419,            0.005446,            0.005446,            0.005446
                  48,            0.041426,            0.017661,           0.0029571,             0.68254,              0.6207,              0.6329,             0.20435,            0.048932,           0.0079373,            0.018199,            0.005347,            0.005347,            0.005347
                  49,            0.045145,            0.017264,           0.0021597,             0.64009,             0.60237,             0.61974,             0.21456,            0.053221,           0.0077841,            0.005828,            0.005248,            0.005248,            0.005248
                  50,            0.045054,            0.019389,           0.0056759,             0.54012,             0.52374,             0.57421,             0.20277,            0.052198,           0.0079553,            0.011503,            0.005149,            0.005149,            0.005149
                  51,            0.042665,            0.018804,           0.0025594,             0.52709,             0.63316,             0.55147,             0.22812,            0.049606,           0.0079602,            0.023349,             0.00505,             0.00505,             0.00505
                  52,            0.041896,            0.018158,           0.0030526,             0.54714,             0.59949,             0.57023,             0.21002,            0.049012,           0.0079342,            0.029485,            0.004951,            0.004951,            0.004951
                  53,            0.041518,            0.018735,           0.0063208,             0.58187,             0.61968,             0.59696,             0.20968,             0.05106,            0.008031,             0.03086,            0.004852,            0.004852,            0.004852
                  54,            0.041806,            0.017508,           0.0050884,             0.52517,              0.6096,             0.60043,             0.21523,            0.050209,           0.0078787,            0.023397,            0.004753,            0.004753,            0.004753
                  55,            0.041691,             0.01887,            0.002714,             0.58121,             0.65452,             0.59902,             0.23507,            0.051488,           0.0079054,             0.01368,            0.004654,            0.004654,            0.004654
                  56,             0.04193,            0.018401,           0.0023237,             0.56411,             0.54966,             0.58165,             0.23379,            0.050609,            0.007866,             0.01078,            0.004555,            0.004555,            0.004555
                  57,            0.039836,            0.017249,           0.0024661,             0.52288,             0.67611,             0.59408,             0.27498,             0.05071,           0.0074399,            0.015085,            0.004456,            0.004456,            0.004456
                  58,             0.04525,             0.01828,           0.0053095,             0.52591,             0.64136,             0.64357,             0.26902,            0.050124,           0.0073373,            0.021262,            0.004357,            0.004357,            0.004357
                  59,            0.039805,            0.018192,           0.0029639,             0.57701,             0.52879,             0.60738,             0.27157,            0.050523,           0.0076271,            0.022421,            0.004258,            0.004258,            0.004258
                  60,            0.039254,            0.019706,            0.002599,             0.49999,             0.48333,             0.54719,             0.23062,            0.051316,           0.0076959,             0.02312,            0.004159,            0.004159,            0.004159
                  61,            0.041353,            0.017966,            0.001997,             0.56519,               0.677,             0.65778,              0.2742,            0.050996,           0.0075321,             0.02275,             0.00406,             0.00406,             0.00406
                  62,            0.041723,            0.018035,           0.0033537,             0.63671,             0.67238,             0.66209,             0.28872,            0.050061,            0.007436,            0.016542,            0.003961,            0.003961,            0.003961
                  63,            0.037756,            0.018133,           0.0016323,             0.55821,              0.6341,             0.65325,             0.27182,            0.050284,           0.0074295,            0.012891,            0.003862,            0.003862,            0.003862
